path,en-us,zh-hk,zh-cn,ja-jp,es-es,de-de,,,,,,,,,,,,,,,,,,,,,
views/searchFlight/directFlightsOnly,Direct Flights,僅顯示直航,仅显示直航,直行便,Direct Flights,Direct Flights,,,,,,,,,,,,,,,,,,,,,
views/selectFlight/holdOnMsg,"Hold on, we are requesting { carriersCode } flight results for you.",請稍等，我們正為您查詢 { carriersCode } 的航班結果,请稍等，我们正为您查询 { carriersCode } 的航班結果,少々お待ちください { carriersCode }フライトの結果,"Hold on, we are requesting { carriersCode } flight results for you.","Hold on, we are requesting { carriersCode } flight results for you.",,,,,,,,,,,,,,,,,,,,,
views/selectFlight/editDetailReminder/content,You will be redirected to Search Flight page to edit.,您將被重定向到搜索航班頁面進行編輯,您将被重定向到搜索航班页面进行编辑,フライトの検索ページに移動し、編集を行います。,You will be redirected to Search Flight page to edit.,You will be redirected to Search Flight page to edit.,,,,,,,,,,,,,,,,,,,,,
views/completeBooking/title,Shipment Details,貨物資料,货物资料,貨物詳細,Shipment Details,Shipment Details,,,,,,,,,,,,,,,,,,,,,
views/completeBooking/disclaimer/content1,Rates shown are for reference only.,以上價格僅作參考用途。,以上价格仅作参考用途。,表示運賃はあくまでも参考です。,Rates shown are for reference only.,Rates shown are for reference only.,,,,,,,,,,,,,,,,,,,,,
views/completeBooking/disclaimer/content2,"The final rates are subject to the airlines availability, actual shipment size, surcharges and other factors.",最終訂艙價格可能會因應航空公司的艙位供應、實際貨物量、附加費等其他因素而有所調整。,最终订舱价格可能会因应航空公司的舱位供应、实际货物量、附加费等其他因素而有所调整。,最終的な運賃は航空会社の供給状況、実際の貨物サイズ、サーチャージなどの他の要因によって変更される場合があります,"The final rates are subject to the airlines availability, actual shipment size, surcharges and other factors.","The final rates are subject to the airlines availability, actual shipment size, surcharges and other factors.",,,,,,,,,,,,,,,,,,,,,
views/completeBooking/rateChangedReminder/title,Rate Changed,價格變更,价格变更,運賃が変更されました,Rate Changed,Rate Changed,,,,,,,,,,,,,,,,,,,,,
views/completeBooking/rateChangedReminder/content1,The rate is no longer valid. Please contact airline to get the updated rate.,價格無效。 請聯繫航空公司以獲取最新價格。,價格無效。 請聯繫航空公司以獲取最新價格。,運賃は無効です。最新の運賃については航空会社にお問い合わせください,The rate is no longer valid. Please contact airline to get the updated rate.,The rate is no longer valid. Please contact airline to get the updated rate.,,,,,,,,,,,,,,,,,,,,,
views/completeBooking/flightNotAvailableReminder/content2,The selected flight is not available for Special Handling Code,所選航班不適用於特殊處理代碼,所选航班不适用于特殊处理代码,選択されたフライトはスペシャルハンドリングコードではご利用いただけません。,The selected flight is not available for SHC.,The selected flight is not available for SHC.,,,,,,,,,,,,,,,,,,,,,
views/completeBooking/timeoutNotify,The booking session has timed out.  You are now redirected to see the latest airline offers and book again.,訂艙時限已過。您將被重定向查看航空公司的最新航班及價格以再次訂艙,订舱时限已过。您将被重定向查看航空公司的最新航班及价格以再次订舱,予約セッションの有効期限が切れました。最新の航空会社のオファーを確認して再度ご予約ください。,The booking session has timed out.  You are now redirected to see the latest airline offers and book again.,The booking session has timed out.  You are now redirected to see the latest airline offers and book again.,,,,,,,,,,,,,,,,,,,,,
views/bookingResult/awbNumber,AWB number,空運提單號碼,空运提单号码,AWB番号,Número de conocimiento aéreo,AWB-Nummer,,,,,,,,,,,,,,,,,,,,,
views/bookingResult/status/acknowledgement,Acknowledgement,Acknowledgement,Acknowledgement,ご挨拶,Acknowledgement,Acknowledgement,,,,,,,,,,,,,,,,,,,,,
views/bookingResult/message/spaceRequestReceived,Space Request Received,Space Request Received,Space Request Received,スペース依頼の受付,Space Request Received,Space Request Received,,,,,,,,,,,,,,,,,,,,,
views/bookingResult/message/off,Offload,Offload,Offload,オフロード,Offload,Offload,,,,,,,,,,,,,,,,,,,,,
